language	translation_id	chapter	mode	dist_interlinear
eng	berean-literal-bible	GAL 3	Literal	0.30888375511405586
eng	berean-literal-bible	GAL 4	Literal	0.3031179684255707
eng	berean-literal-bible	GAL 5	Literal	0.3047381401323809
eng	berean-literal-bible	GAL 6	Literal	0.337993343251824
eng	berean-literal-bible	HEB 1	Literal	0.3163912144029279
eng	berean-literal-bible	HEB 10	Literal	0.3800290199348425
eng	berean-literal-bible	HEB 11	Literal	0.32926442780369947
eng	berean-literal-bible	HEB 12	Literal	0.2716067588699589
eng	berean-literal-bible	HEB 13	Literal	0.4264472089862406
eng	berean-literal-bible	HEB 2	Literal	0.2672638019696998
eng	berean-literal-bible	HEB 3	Literal	0.3087569399078858
eng	berean-literal-bible	HEB 4	Literal	0.3145676828994473
eng	berean-literal-bible	HEB 5	Literal	0.31581629677751966
eng	berean-literal-bible	HEB 6	Literal	0.3175624896231175
eng	berean-literal-bible	HEB 7	Literal	0.27679921949190367
eng	berean-literal-bible	HEB 8	Literal	0.26757757606867716
eng	berean-literal-bible	HEB 9	Literal	0.2798436581306883
eng	berean-literal-bible	JAS 1	Literal	0.3426582161621855
eng	berean-literal-bible	JAS 2	Literal	0.29851628082021225
eng	berean-literal-bible	JAS 3	Literal	0.3445893751181151
eng	berean-literal-bible	JAS 4	Literal	0.38312082061655517
eng	berean-literal-bible	JAS 5	Literal	0.26514843172702834
eng	berean-literal-bible	JHN 1	Literal	0.3148242208974107
eng	berean-literal-bible	JHN 10	Literal	0.2775326631199203
eng	berean-literal-bible	JHN 11	Literal	0.23046224498354617
eng	berean-literal-bible	JHN 12	Literal	0.3501274750898076
eng	berean-literal-bible	JHN 13	Literal	0.279757850077721
eng	berean-literal-bible	JHN 14	Literal	0.3515297433632592
eng	berean-literal-bible	JHN 15	Literal	0.3335396532439345
eng	berean-literal-bible	JHN 16	Literal	0.3504168150781325
eng	berean-literal-bible	JHN 17	Literal	0.35757623584337345
eng	berean-literal-bible	JHN 18	Literal	0.2376099956725755
eng	berean-literal-bible	JHN 19	Literal	0.2931414888825651
eng	berean-literal-bible	JHN 2	Literal	0.24827107570366125
eng	berean-literal-bible	JHN 20	Literal	0.3625695752696791
eng	berean-literal-bible	JHN 21	Literal	0.24394403101700962
eng	berean-literal-bible	JHN 3	Literal	0.285946558758019
eng	berean-literal-bible	JHN 4	Literal	0.2647270522088431
eng	berean-literal-bible	JHN 5	Literal	0.3231905797328292
eng	berean-literal-bible	JHN 6	Literal	0.2969368051286408
eng	berean-literal-bible	JHN 7	Literal	0.2592863409472483
eng	berean-literal-bible	JHN 8	Literal	0.2956481507050296
eng	berean-literal-bible	JHN 9	Literal	0.26883673769205324
eng	berean-literal-bible	JUD 1	Literal	0.299836369298294
eng	berean-literal-bible	LUK 1	Literal	0.2244532535212034
eng	berean-literal-bible	LUK 10	Literal	0.22516480377988235
eng	berean-literal-bible	LUK 11	Literal	0.30850225989487934
eng	berean-literal-bible	LUK 12	Literal	0.3035962485939911
eng	berean-literal-bible	LUK 13	Literal	0.29537724612988575
eng	berean-literal-bible	LUK 14	Literal	0.2666317147707654
eng	berean-literal-bible	LUK 15	Literal	0.2755105415831026
eng	berean-literal-bible	LUK 16	Literal	0.25436676578112133
eng	berean-literal-bible	LUK 17	Literal	0.27471069906447687
eng	berean-literal-bible	LUK 18	Literal	0.3020889760698205
eng	berean-literal-bible	LUK 19	Literal	0.22352179083391346
eng	berean-literal-bible	LUK 2	Literal	0.2545556983193295
eng	berean-literal-bible	LUK 20	Literal	0.2632658063562701
eng	berean-literal-bible	LUK 21	Literal	0.2653162462162106
eng	berean-literal-bible	LUK 22	Literal	0.2728957320420821
eng	berean-literal-bible	LUK 23	Literal	0.3093599392315174
eng	berean-literal-bible	LUK 24	Literal	0.27972936418846694
eng	berean-literal-bible	LUK 3	Literal	0.30205717627159545
eng	berean-literal-bible	LUK 4	Literal	0.2523003807787622
eng	berean-literal-bible	LUK 5	Literal	0.24435743940275678
eng	berean-literal-bible	LUK 6	Literal	0.34229363954826736
eng	berean-literal-bible	LUK 7	Literal	0.24937632014164027
eng	berean-literal-bible	LUK 8	Literal	0.24746899693709104
eng	berean-literal-bible	LUK 9	Literal	0.28442723406678944
eng	berean-literal-bible	MAT 1	Literal	0.2798276348033159
eng	berean-literal-bible	MAT 10	Literal	0.26393301549006104
eng	berean-literal-bible	MAT 11	Literal	0.26936221965885787
