language	translation_id	chapter	pca_x	pca_y	mode
eng	berean-literal-bible	1CO 1	-0.04642653646146683	0.04568782636350656	Literal
eng	berean-literal-bible	1CO 10	-0.03080832302759655	0.023676020086155068	Literal
eng	berean-literal-bible	1CO 11	-0.03735464766021725	0.005839339705612158	Literal
eng	berean-literal-bible	1CO 12	-0.000622530065340382	0.028874921850475844	Literal
eng	berean-literal-bible	1CO 13	-0.008767949940850908	0.01910502303240098	Literal
eng	berean-literal-bible	1CO 14	-0.02444226304222634	0.01522541511394555	Literal
eng	berean-literal-bible	1CO 15	0.002830798441807336	0.011566849003075027	Literal
eng	berean-literal-bible	1CO 16	-0.007699396972455079	0.04621884446953172	Literal
eng	berean-literal-bible	1CO 2	-0.028978643990480696	0.01555612563337369	Literal
eng	berean-literal-bible	1CO 3	-0.03369219892501546	0.03316119334036265	Literal
eng	berean-literal-bible	1CO 4	-0.03087195025382769	0.02215948845926076	Literal
eng	berean-literal-bible	1CO 5	-0.04741797167990133	0.020176332570850997	Literal
eng	berean-literal-bible	1CO 6	-0.04369581749284485	0.036260594883742364	Literal
eng	berean-literal-bible	1CO 7	-0.023072371591962473	0.007920970702107268	Literal
eng	berean-literal-bible	1CO 8	0.031075768465944897	0.00013151354097121898	Literal
eng	berean-literal-bible	1CO 9	-0.030041706238897667	0.031043667962364914	Literal
eng	berean-literal-bible	1JN 1	0.0193320857525503	0.03701495130710863	Literal
eng	berean-literal-bible	1JN 2	-0.016896094706070078	0.020585677327510245	Literal
eng	berean-literal-bible	1JN 3	-0.01836192837831019	0.029134422054219466	Literal
eng	berean-literal-bible	1JN 4	-0.0177971115601573	0.032953351938064875	Literal
eng	berean-literal-bible	1JN 5	-0.01717447274692803	0.025659102572206376	Literal
eng	berean-literal-bible	1PE 1	-0.04155852988377631	0.03942794142712689	Literal
eng	berean-literal-bible	1PE 2	-0.01571525585064501	0.018227993175515884	Literal
eng	berean-literal-bible	1PE 3	-0.034063040941983064	0.029744999002997482	Literal
eng	berean-literal-bible	1PE 4	-0.022945258583635872	0.010993656273127997	Literal
eng	berean-literal-bible	1PE 5	0.027642907556025526	0.04396326717017346	Literal
eng	berean-literal-bible	1TH 1	-0.04941890419066667	0.03800382767891844	Literal
eng	berean-literal-bible	1TH 2	-0.005522673607471995	-0.00887736164399821	Literal
eng	berean-literal-bible	1TH 3	0.011326094581898288	-0.0033087248411982975	Literal
eng	berean-literal-bible	1TH 4	-0.0023626861459519477	-0.004928316227867394	Literal
eng	berean-literal-bible	1TH 5	0.011315498572664257	0.03239747455128439	Literal
eng	berean-literal-bible	1TI 1	0.003673907311712521	0.005419804823455037	Literal
eng	berean-literal-bible	1TI 2	-0.042679554437704874	0.028459319608807498	Literal
eng	berean-literal-bible	1TI 3	-0.00482016316222518	0.020105256900089328	Literal
eng	berean-literal-bible	1TI 4	-0.03241558456354719	0.04036953888681615	Literal
eng	berean-literal-bible	1TI 5	-0.006268139570635607	0.03174186639731399	Literal
eng	berean-literal-bible	1TI 6	0.001736995768423913	0.021425108855872243	Literal
eng	berean-literal-bible	2CO 1	-0.015124919533364783	0.013373312820679707	Literal
eng	berean-literal-bible	2CO 10	-0.03987487458451374	0.03196586122112978	Literal
eng	berean-literal-bible	2CO 11	-0.046797518917411206	0.0409525104802836	Literal
eng	berean-literal-bible	2CO 12	-0.0192325731484322	0.03706723354493464	Literal
eng	berean-literal-bible	2CO 13	-0.02815822111784167	0.0636773492234578	Literal
eng	berean-literal-bible	2CO 2	-0.03404940859296643	0.02982631576756517	Literal
eng	berean-literal-bible	2CO 3	-0.022984415912670045	0.055162706827652265	Literal
eng	berean-literal-bible	2CO 4	-0.046235522534444774	0.04591453434874905	Literal
eng	berean-literal-bible	2CO 5	-0.050073819080084715	0.030495779878142795	Literal
eng	berean-literal-bible	2CO 6	-0.057388931735713467	0.026716321526685276	Literal
eng	berean-literal-bible	2CO 7	-0.029348130925610158	0.05288691199955734	Literal
eng	berean-literal-bible	2CO 8	-0.012602547357425498	0.01642102785967876	Literal
eng	berean-literal-bible	2CO 9	0.0005231099744378159	0.038746284830015514	Literal
eng	berean-literal-bible	2JN 1	-0.026295494455018137	0.03767446303577765	Literal
eng	berean-literal-bible	2PE 1	-0.05468767869801723	0.0067977954538542655	Literal
eng	berean-literal-bible	2PE 2	-0.017215699320438357	0.008667863593358763	Literal
eng	berean-literal-bible	2PE 3	-0.028690373432436286	0.0288784251711764	Literal
eng	berean-literal-bible	2TH 1	-0.03980581728157416	0.057321754279855	Literal
eng	berean-literal-bible	2TH 2	-0.030258819437307807	-0.002898230016088091	Literal
eng	berean-literal-bible	2TH 3	-0.017541991389431195	0.07563488937467579	Literal
